info: Oct-04-2022 00:46:55: 	Hello, customer!
info: Oct-04-2022 00:51:17: 	Get all customer called
info: Oct-04-2022 00:53:02: 	Server is running at port 3000
info: Oct-04-2022 00:53:05: 	Get all customer called
info: Oct-04-2022 00:55:57: 	Server is running at port 3000
info: Oct-04-2022 09:32:10: 	Server is running at port 3000
info: Oct-04-2022 09:32:53: 	Server is running at port 3000
info: Oct-04-2022 09:37:12: 	Server is running at port 3000
info: Oct-04-2022 10:11:05: 	Server is running at port 3000
info: Oct-04-2022 10:11:35: 	Server is running at port 3000
info: Oct-04-2022 12:16:00: 	Server is running at port 3000
info: Oct-04-2022 13:42:05: 	Server is running at port 3000
info: Oct-04-2022 13:43:30: 	Server is running at port 3000
info: Oct-04-2022 13:43:45: 	Server is running at port 3000
info: Oct-04-2022 13:43:47: 	Server is running at port 3000
info: Oct-04-2022 13:44:29: 	Server is running at port 3000
info: Oct-04-2022 13:44:42: 	Server is running at port 3000
info: Oct-04-2022 13:44:52: 	Server is running at port 3000
info: Oct-04-2022 13:45:02: 	Get all customer called
info: Oct-04-2022 13:45:31: 	Server is running at port 3000
info: Oct-04-2022 13:45:42: 	Server is running at port 3000
info: Oct-04-2022 13:46:16: 	Server is running at port 3000
info: Oct-04-2022 13:53:14: 	Server is running at port 3000
info: Oct-04-2022 13:53:27: 	Server is running at port 3000
info: Oct-04-2022 13:54:15: 	Server is running at port 3000
info: Oct-04-2022 13:54:22: 	Server is running at port 3000
info: Oct-04-2022 13:56:15: 	Server is running at port 3000
info: Oct-04-2022 13:56:22: 	Server is running at port 3000
info: Oct-04-2022 13:57:29: 	Server is running at port 3000
info: Oct-04-2022 14:06:28: 	Server is running at port 3000
info: Oct-04-2022 14:07:06: 	Server is running at port 3000
info: Oct-04-2022 14:07:37: 	Server is running at port 3000
info: Oct-04-2022 14:08:08: 	Server is running at port 3000
info: Oct-04-2022 14:08:16: 	Server is running at port 3000
info: Oct-04-2022 14:09:02: 	Server is running at port 3000
info: Oct-04-2022 14:10:32: 	Server is running at port 3000
info: Oct-04-2022 14:11:47: 	Server is running at port 3000
info: Oct-04-2022 14:12:55: 	Server is running at port 3000
info: Oct-04-2022 14:12:58: 	Server is running at port 3000
info: Oct-04-2022 14:14:06: 	Server is running at port 3000
info: Oct-04-2022 14:14:56: 	Get all customer called
info: Oct-04-2022 14:17:09: 	Server is running at port 3000
info: Oct-04-2022 14:18:01: 	Server is running at port 3000
info: Oct-04-2022 14:18:19: 	Server is running at port 3000
info: Oct-04-2022 14:18:41: 	Server is running at port 3000
info: Oct-04-2022 14:18:53: 	Server is running at port 3000
info: Oct-04-2022 14:19:10: 	Server is running at port 3000
info: Oct-04-2022 14:19:28: 	Get all customer called
info: Oct-04-2022 14:19:47: 	Server is running at port 3000
info: Oct-04-2022 14:20:42: 	Server is running at port 3000
info: Oct-04-2022 14:21:36: 	Server is running at port 3000
info: Oct-04-2022 14:21:43: 	Server is running at port 3000
info: Oct-04-2022 14:22:03: 	Server is running at port 3000
info: Oct-04-2022 14:22:10: 	Server is running at port 3000
info: Oct-04-2022 14:22:37: 	Server is running at port 3000
info: Oct-04-2022 14:22:43: 	Server is running at port 3000
info: Oct-04-2022 14:25:36: 	Server is running at port 3000
info: Oct-04-2022 14:25:40: 	Server is running at port 3000
info: Oct-04-2022 14:26:24: 	Server is running at port 3000
info: Oct-04-2022 14:26:34: 	Get all customer called
info: Oct-04-2022 14:27:01: 	Server is running at port 3000
info: Oct-04-2022 14:27:28: 	Server is running at port 3000
info: Oct-04-2022 14:27:46: 	Get all customer called
info: Oct-04-2022 14:28:42: 	Server is running at port 3000
info: Oct-04-2022 14:28:48: 	Server is running at port 3000
info: Oct-04-2022 14:28:58: 	Server is running at port 3000
info: Oct-04-2022 14:29:01: 	Server is running at port 3000
info: Oct-04-2022 14:31:40: 	Server is running at port 3000
info: Oct-04-2022 14:35:15: 	Server is running at port 3000
info: Oct-04-2022 14:36:19: 	Server is running at port 3000
info: Oct-04-2022 14:36:47: 	Server is running at port 3000
info: Oct-04-2022 14:36:56: 	Server is running at port 3000
info: Oct-04-2022 14:37:03: 	Server is running at port 3000
info: Oct-04-2022 14:37:05: 	Server is running at port 3000
info: Oct-04-2022 14:38:02: 	Server is running at port 3000
info: Oct-04-2022 14:38:26: 	Server is running at port 3000
info: Oct-04-2022 14:38:28: 	Get all customer called
info: Oct-04-2022 14:40:01: 	Server is running at port 3000
info: Oct-05-2022 17:26:39: 	Server is running at port 3000
info: Oct-05-2022 17:26:57: 	Get all customer called
info: Oct-05-2022 17:27:41: 	Server is running at port 3000
info: Oct-07-2022 10:24:05: 	Get all customer called
